Country Name,GDP per capita growth (annual %),Initial Life Expectancy Log,Growth of Life Expectancy,Initial GDP per Capita Log,Average Adult Mortality Rate,Average Infant Mortality Rate,Initial Infant Mortality 2000,Initial Adult Mortality 2000
Austria,-6.706393805,4.358333522438447,3.924200800988172,10.888395123205804,74.03889170343474,3.6142857142857148,4.6,126.568
Belgium,-5.202440099,4.353137729958377,3.8253938344704452,10.828388979540192,80.82291261876152,3.8095238095238093,4.9,130.497
Canada,-6.06240643,4.371557388741319,3.1498779892969244,10.785644166106874,71.8437502612802,4.938095238095238,5.3,100.915
Chile,-6.98113062,4.34211568336104,3.261350331728881,9.772706248093096,91.3565679006523,7.4,9.3,139.528
Colombia,-8.509494776,4.267176792994939,4.835950644980388,9.286765088760559,128.05788628499099,15.938095238095238,21.2,232.155
Costa Rica,-4.934442272,4.35138699854177,2.179516923156243,9.548546125901956,84.26878609688936,8.895238095238096,11.1,115.195
Czechia,-5.534919689,4.317065259879636,4.278231456717757,10.28877845258053,99.17610687912416,3.0714285714285716,4.5,172.623
Denmark,-2.066138347,4.338501549076874,6.540776348804172,10.957453072628544,81.10273936098582,3.7714285714285714,4.7,125.917
Estonia,-3.075482599,4.254435750380913,11.613730039953055,9.938886198290357,151.52877052940363,4.1952380952380945,8.7,308.009
Finland,-2.630998707,4.349837241332027,5.764931836420181,10.755768651226818,84.71483822891238,2.5619047619047617,3.5,144.431
France,-7.740567543,4.370157696164563,3.9459476198308856,10.733805522200818,83.60590799874714,3.3333333333333335,4.1,138.639
Germany,-4.173453208,4.355770300129237,3.9968701013208907,10.818458476647052,78.17451693323238,3.604761904761905,4.4,125.456
Greece,-9.001164527,4.355269392226345,4.365253334894077,10.353235566814758,71.26269223627895,3.814285714285714,5.5,112.969
Hungary,-4.281407351,4.266143469900586,6.066207936342227,10.004343367748904,153.98328080245778,5.433333333333333,8.7,271.44
Iceland,-8.438698011,4.37768796800677,4.280727530283761,10.773305157066593,58.20278432419344,2.3285714285714283,3.2,98.715
Ireland,6.060780601,4.337768866642845,7.864882083385269,10.891094764945592,70.79307099960447,3.895238095238095,6.0,119.257
Israel,-3.187218748,4.36886107958999,4.680114915926207,10.40795165566892,63.061805309015554,3.880952380952381,5.6,102.6
Italy,-8.423239928,4.379248388670024,3.029747163490346,10.82591714657886,59.30865989810276,3.433333333333333,4.7,101.334
Latvia,-2.789965464,4.2529799442936715,6.927052609858446,9.584736677212126,185.13897665452603,6.671428571428571,11.5,329.836
Lithuania,0.016039383,4.276937085079213,4.107965313322409,9.665053218280974,184.43632758719627,5.414285714285715,8.6,292.937
Luxembourg,-2.547346107,4.355081487008292,5.484214486151317,11.638999266384216,72.5014065534433,2.5857142857142854,3.8,127.293
Mexico,-9.102871522,4.298223741354852,-4.670445432179323,9.92645129734915,146.68855512563044,16.847619047619048,23.6,190.242
Netherlands,-4.400525427,4.356552466773709,4.322126664786312,10.932505098986573,66.42695198189139,3.9857142857142858,5.1,100.046
New Zealand,-2.596301566,4.364837053863638,4.602834892905771,10.487945733342555,71.74179590010449,5.057142857142857,6.1,104.312
Norway,-1.857696109,4.364806036903601,5.818858565865123,11.25825459935032,64.46021623126428,2.7666666666666666,3.9,106.629
Poland,-1.863920072,4.300664459354399,3.7305288192162736,9.828203035986947,128.51448275636548,5.438095238095238,8.1,218.94
Portugal,-8.301071266,4.33486471740945,6.10757774300356,10.464193917005295,86.31194729270173,3.457142857142857,5.5,153.572
Slovak Republic,-2.669028603,4.291160832239429,5.221862380377944,9.81569958353151,123.95115901313372,6.071428571428571,8.1,216.472
Slovenia,-4.725246903,4.322969000927612,6.788705980317296,10.310152441952104,89.98580795972639,2.8666666666666667,4.5,168.105
Spain,-11.3740694,4.36901552687588,4.262416606666763,10.594377614719823,67.04072704650657,3.3095238095238093,4.4,118.721
Sweden,-2.710995782,4.377565479000006,3.4054020921981203,10.77544723535328,59.433668063960674,2.6523809523809527,3.4,87.232
Switzerland,-2.854158322,4.378024735245555,4.166028963492371,11.116432736855353,57.888439582332154,4.0,4.7,99.439
United Kingdom,-10.62441602,4.353388749661615,3.3569680650805913,10.674829422003558,75.78992740007236,4.519047619047619,5.6,108.445
